contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
14.concoct_part_0,-9.06003817e-01,-2.43425095e+00,-7.21616259e-01,1.54186696e-01,-1.71201810e+00,6.39007664e-01,-5.08613960e-01,8.56485810e-02,3.14564014e-01,1.34451148e+00,-8.16392207e-01,-2.11378268e-01,-1.01337751e+00,-7.24398551e-02,8.45794967e-01,4.54129227e-02,-7.45440952e-02,3.59599093e-01,1.06438427e-01,3.72821816e-01,2.60532922e-01,-3.75406882e-01,-1.40361436e+00,-3.58035438e-01,-9.30701672e-02,-5.60529295e-01,5.52644848e-01,1.89795673e-01,-1.32298409e-01,9.94400688e-02,6.69869490e-01,-4.05199399e-01,9.24032181e-01,1.96648003e-01,2.35411990e-01,8.77928076e-03,7.93254808e-01,-1.43943219e-01,-1.69398714e-01,-1.74479349e-01,-3.15793738e-01,1.83730713e-01,-2.34509384e-01,3.33415951e-01,4.49518495e-01,-1.01794846e+00,1.17141092e-01,2.81555294e-01,-2.41920539e-02
15.concoct_part_0,-4.77301523e+00,-1.22216922e+00,-1.08443002e+00,-5.77909544e-02,-1.17744506e+00,-1.00814225e-01,8.11467992e-01,1.43028264e-01,2.21648223e-01,2.23261617e-01,6.35056869e-01,3.76821695e-01,6.95864096e-01,-6.64706432e-01,-1.86217050e-01,-5.47642030e-01,5.30019673e-01,-5.91663038e-01,-3.65595516e-01,-1.17174652e-01,-9.21419700e-02,6.96287611e-02,3.93959806e-01,5.35560361e-01,-4.94042996e-01,-1.67000041e-04,3.49089154e-01,-1.00133210e-01,-5.98026124e-01,3.45892721e-01,-3.08648378e-01,-4.58651783e-01,1.37059209e-01,3.41224801e-01,-1.18234178e-01,-1.43151740e-01,-2.10467522e-01,-2.47780987e-01,4.71005707e-01,-5.44724745e-01,3.65839981e-01,5.87652672e-01,-2.62210774e-02,1.79583784e-01,-7.61168873e-02,-5.16782990e-02,9.54244262e-01,-3.26425246e-01,-8.26987982e-02
16.concoct_part_0,6.48099781e+00,8.41462650e-01,2.54019018e+00,-3.32690516e-01,7.82642391e-01,-1.22308362e+00,1.93105646e-01,1.99869687e-03,-1.98658448e-01,2.17861375e-01,-1.39330868e+00,1.31180635e-01,-2.70714439e-01,3.71159658e-01,-7.72097014e-01,-1.09710526e-01,-1.23825921e+00,9.05633059e-01,-8.56520489e-01,-1.09570351e+00,-5.71484643e-02,2.94547872e-01,6.74858052e-01,-8.78676706e-01,-1.05700291e+00,2.91655142e-01,-1.11228701e-01,1.10063790e-01,-4.88825264e-01,-1.65277676e-01,-1.68466035e-01,-2.15970774e-01,1.71177488e-01,-4.76789249e-01,1.85475064e-01,7.67768531e-01,5.26805128e-01,5.43638730e-01,6.38649201e-01,3.24423072e-01,2.58446552e-01,-3.08563163e-01,-3.21220373e-01,-6.19394788e-01,-7.92496433e-01,1.18269503e-01,-7.32971637e-01,2.94308012e-01,7.52098952e-02
17.concoct_part_0,-1.72014107e+00,-9.74408498e-01,5.07422480e-01,-1.99550045e-01,-5.68075737e-01,1.69033563e-01,-6.68035436e-01,-3.77464233e-01,-1.68155697e+00,3.80570279e-01,5.51728801e-02,-2.83033867e-01,4.53219504e-01,1.96433839e-01,-4.89433820e-01,1.26256387e-01,-1.82596631e-01,7.71890263e-01,-2.85950069e-01,-5.85447886e-02,-1.63818481e-01,-5.89694642e-01,-2.04309841e-01,-7.77688552e-01,9.07683944e-02,1.33087058e-01,-1.68368659e-01,6.28657380e-01,8.96396823e-01,4.89607940e-01,1.74832607e-01,-6.97437256e-02,-3.03452176e-01,6.89515705e-02,2.59615714e-01,2.53227611e-01,-8.23325738e-03,7.77842680e-01,-8.13775042e-02,-2.92052135e-01,4.09034967e-02,5.37963611e-01,-2.33633551e-01,2.30933529e-01,3.69813199e-01,7.30541864e-01,-5.00590685e-01,3.40354004e-01,-2.09438079e-01
18.concoct_part_0,-3.50341857e+00,7.26422709e+00,1.01947535e+00,3.32725545e+00,-9.48559672e-01,3.11882414e+00,7.73013345e-01,1.29326262e+00,-9.43020946e-01,-1.74820605e+00,1.16614125e+00,-3.87037194e-01,1.22656749e-01,4.04397671e-01,4.75319342e-01,9.29603246e-01,-4.33114168e-01,-1.03252734e-01,-4.08256254e-01,1.06244016e+00,-3.96308638e-01,1.81251996e-01,4.69967193e-02,-3.03755507e-01,-5.31881412e-01,-1.30277924e-01,-9.95117102e-02,5.83218087e-01,-3.88844077e-01,-7.30600615e-01,-3.50888228e-02,-4.07309715e-02,6.69264078e-02,3.21430887e-02,-6.37010358e-01,-1.75959177e-01,5.53655416e-02,-5.02011730e-01,-3.60724369e-01,1.54717029e-01,3.54051298e-01,3.12801746e-01,-8.19632718e-02,-4.40500028e-01,5.51712512e-02,1.89552741e-01,-2.53075838e-01,-1.25600167e-01,3.25537553e-01
19.concoct_part_0,-5.30164443e-02,-3.14073644e-01,-4.71338849e-01,5.56040468e-01,9.05144674e-01,1.16389993e+00,-1.48076876e+00,1.47627434e+00,-7.11987430e-01,2.16561163e+00,-6.27116863e-01,-1.43028666e-01,7.35688864e-01,-4.80723220e-01,2.16161536e-01,5.55317736e-01,-2.52012872e-01,-7.44672245e-01,-5.92419617e-01,6.45502358e-01,-2.37821785e-01,-5.93250674e-01,3.77030710e-01,-8.20049711e-01,8.96742738e-01,1.41182799e-01,2.67164119e-01,-4.28027922e-01,1.51773837e-01,-5.95887850e-01,-6.54533891e-01,-8.73097013e-01,-1.24642510e-01,-3.27235803e-01,3.62183325e-01,-2.86482107e-01,4.90213805e-01,-3.22983942e-01,-1.16346489e-01,8.45741092e-03,-2.87305488e-01,2.94990874e-02,-4.00864773e-01,-3.35720584e-01,8.79832452e-01,-3.54804362e-02,5.44531263e-01,-3.49088450e-02,2.17326425e-01
20.concoct_part_0,6.97029984e+00,1.57566446e+00,-3.57166381e-01,-8.90016238e-01,-5.56140252e-01,-1.70931779e-01,1.87619932e+00,-1.06790858e-02,1.81607013e-01,3.58290613e-01,-4.24853240e-01,-4.95581678e-01,-1.46167584e-01,-3.60318130e-01,1.43485988e-01,-6.23605854e-01,-2.66695486e-01,1.20783865e+00,-8.97336944e-01,1.47547313e-01,4.31696960e-01,-4.69641528e-01,3.27549093e-01,-3.65857991e-01,2.36039326e-01,-1.19626684e+00,9.67972065e-02,2.84759823e-01,-5.44756419e-01,8.58173406e-02,2.70331842e-01,-8.92943335e-02,3.95705097e-01,1.73535625e-01,-3.72184055e-01,4.11661258e-01,2.03313770e-01,8.08212285e-03,-5.72097771e-01,2.47829077e-01,5.44780376e-01,-4.27919808e-01,3.41831907e-01,5.24170197e-01,-4.16959905e-01,7.05597348e-01,-1.49230506e-01,-2.21552270e-01,5.22118392e-01
21.concoct_part_0,3.85318861e+00,1.91757535e+00,9.58759459e-01,-2.37781510e-01,-3.44453151e+00,-3.48796813e-01,-3.27193731e-02,1.89931617e-01,3.79405874e-01,6.65444481e-01,1.32454705e+00,8.38092757e-01,4.41122787e-01,2.07271159e+00,-8.13744135e-01,4.01610900e-01,-1.10779496e+00,-7.01231441e-01,1.49547612e-02,-1.46427565e-03,-6.80230984e-02,4.82382438e-02,-6.71264609e-01,8.97658299e-01,3.40252812e-01,-6.69262453e-01,-4.87921609e-01,5.78511815e-02,-5.55034892e-01,6.41138744e-01,-1.27934847e-01,-1.26429697e-01,-1.97349929e-01,-1.01909916e+00,-2.21618092e-01,-5.79520764e-01,-1.86340040e-01,3.71413394e-01,-3.88578319e-02,2.05598243e-01,6.24052421e-01,-1.63469382e-01,3.26002272e-01,2.02915484e-01,2.81099452e-01,1.95253320e-01,-5.97498805e-01,-1.86614634e-01,-5.64315822e-02
22.concoct_part_0,2.69422911e+00,5.33209278e-01,-1.13649864e+00,4.21867117e-02,5.79780404e-01,6.26466971e-01,-5.79026626e-01,-1.67584011e+00,6.02495671e-01,6.00518949e-02,2.57090397e-01,6.93182898e-01,-5.36071467e-01,4.49175864e-01,-1.66290372e-01,3.43695487e-01,2.97305434e-01,-7.72903150e-01,-1.77974096e-01,-7.93681208e-01,-1.22977287e-01,-3.02184389e-01,8.92871084e-01,1.59735631e-01,2.93288157e-01,-1.50219792e-01,1.28139682e-01,2.93460018e-02,2.48585597e-01,-3.01328597e-02,-8.59995389e-01,-3.25747835e-01,6.63806446e-01,2.13015528e-01,9.54846434e-01,7.67088222e-02,-7.28331331e-01,-4.93294924e-03,-4.25327409e-01,6.34844638e-01,7.98891087e-01,-9.70603310e-01,-4.21571957e-01,3.12487817e-01,1.47008952e-02,-3.07355624e-01,8.83784981e-02,3.02222437e-01,6.82979545e-01
23.concoct_part_0,8.48112263e+00,1.36252362e+00,-8.45191884e-01,8.60844344e-01,-5.26377861e-01,1.31592483e+00,4.19676519e-01,2.95664559e-01,-1.83335755e-01,7.65197881e-01,-6.96352525e-01,1.43176657e+00,-8.09450098e-01,-1.00888859e+00,-1.15380051e+00,-2.17105817e-01,-1.00196110e+00,-4.19853496e-01,3.38468694e-01,-6.01317982e-02,6.08114758e-03,1.77015565e-01,-3.35778111e-01,3.61408393e-01,-4.57116589e-01,-4.20609679e-01,-3.11022811e-01,9.10087322e-02,1.10128116e-01,-3.52445763e-02,2.17072811e-01,-3.52433301e-01,1.32566281e-01,-4.92054942e-01,-2.23812820e-01,2.45067629e-02,2.16764141e-03,-2.19009572e-01,3.02899183e-02,-1.45060788e-01,-1.38379699e-01,-1.65357477e-01,-1.10847747e-01,-2.95447373e-01,2.83582709e-01,-1.49816043e-01,-3.20140863e-01,-2.96813992e-01,3.13649526e-03
