contig_id,cluster_id
402.concoct_part_0,1
403.concoct_part_0,1
404.concoct_part_0,1
405.concoct_part_0,1
406.concoct_part_0,9
406.concoct_part_1,9
406.concoct_part_2,9
406.concoct_part_3,9
406.concoct_part_4,9
406.concoct_part_5,9
406.concoct_part_6,9
406.concoct_part_7,9
407.concoct_part_0,1
408.concoct_part_0,9
409.concoct_part_0,1
410.concoct_part_0,1
411.concoct_part_0,9
412.concoct_part_0,1
413.concoct_part_0,9
414.concoct_part_0,1
415.concoct_part_0,9
416.concoct_part_0,9
417.concoct_part_0,9
418.concoct_part_0,9
419.concoct_part_0,1
420.concoct_part_0,9
420.concoct_part_1,9
420.concoct_part_2,9
420.concoct_part_3,9
420.concoct_part_4,9
420.concoct_part_5,9
420.concoct_part_6,9
420.concoct_part_7,9
420.concoct_part_8,9
420.concoct_part_9,9
420.concoct_part_10,9
421.concoct_part_0,1
422.concoct_part_0,1
423.concoct_part_0,1
424.concoct_part_0,1
425.concoct_part_0,1
426.concoct_part_0,3
427.concoct_part_0,1
428.concoct_part_0,7
429.concoct_part_0,1
430.concoct_part_0,1
431.concoct_part_0,5
432.concoct_part_0,1
433.concoct_part_0,1
434.concoct_part_0,1
435.concoct_part_0,13
436.concoct_part_0,1
437.concoct_part_0,1
438.concoct_part_0,1
439.concoct_part_0,1
440.concoct_part_0,1
441.concoct_part_0,1
442.concoct_part_0,4
443.concoct_part_0,9
444.concoct_part_0,1
445.concoct_part_0,1
446.concoct_part_0,4
447.concoct_part_0,1
448.concoct_part_0,1
449.concoct_part_0,1
450.concoct_part_0,1
451.concoct_part_0,1
452.concoct_part_0,4
452.concoct_part_1,4
452.concoct_part_2,4
453.concoct_part_0,1
454.concoct_part_0,1
455.concoct_part_0,1
456.concoct_part_0,1
457.concoct_part_0,4
458.concoct_part_0,9
459.concoct_part_0,1
460.concoct_part_0,1
461.concoct_part_0,1
462.concoct_part_0,9
463.concoct_part_0,1
464.concoct_part_0,1
465.concoct_part_0,11
466.concoct_part_0,1
467.concoct_part_0,9
468.concoct_part_0,9
469.concoct_part_0,1
470.concoct_part_0,1
471.concoct_part_0,1
472.concoct_part_0,1
473.concoct_part_0,1
474.concoct_part_0,1
475.concoct_part_0,9
476.concoct_part_0,1
477.concoct_part_0,1
478.concoct_part_0,9
479.concoct_part_0,1
480.concoct_part_0,1
481.concoct_part_0,1
482.concoct_part_0,9
483.concoct_part_0,9
484.concoct_part_0,1
485.concoct_part_0,4
485.concoct_part_1,4
485.concoct_part_2,4
485.concoct_part_3,4
485.concoct_part_4,4
485.concoct_part_5,4
485.concoct_part_6,4
485.concoct_part_7,4
485.concoct_part_8,4
485.concoct_part_9,4
485.concoct_part_10,4
485.concoct_part_11,4
485.concoct_part_12,4
485.concoct_part_13,4
485.concoct_part_14,4
485.concoct_part_15,4
485.concoct_part_16,4
485.concoct_part_17,4
