clade_name	NCBI_tax_id	SRR5665187_mtphln2	SRR5665186_mtphln2	SRR5665185_mtphln2	SRR5665184_mtphln2	SRR5665183_mtphln2	SRR5665182_mtphln2	SRR5665181_mtphln2	SRR5665180_mtphln2	SRR5665179_mtphln2	SRR5665178_mtphln2	SRR5665164_mtphln2	SRR5665163_mtphln2	SRR5665162_mtphln2	SRR5665161_mtphln2	SRR5665160_mtphln2	SRR5665159_mtphln2	SRR5665158_mtphln2	SRR5665157_mtphln2	SRR5665156_mtphln2	SRR5665155_mtphln2	SRR5665144_mtphln2	SRR5665143_mtphln2	SRR5665142_mtphln2	SRR5665141_mtphln2	SRR5665140_mtphln2	SRR5665139_mtphln2	SRR5665138_mtphln2	SRR5665137_mtphln2	SRR5665136_mtphln2	SRR5665135_mtphln2	SRR5665134_mtphln2	SRR5665123_mtphln2	SRR5665122_mtphln2	SRR5665121_mtphln2	SRR5665120_mtphln2	SRR5665119_mtphln2	SRR5665118_mtphln2	SRR5665117_mtphln2	SRR5665116_mtphln2	SRR5665115_mtphln2	SRR5665114_mtphln2	SRR5665103_mtphln2	SRR5665081_mtphln2	SRR5665080_mtphln2	SRR5665079_mtphln2	SRR5665078_mtphln2	SRR5665077_mtphln2	SRR5665076_mtphln2	SRR5665075_mtphln2	SRR5665074_mtphln2	SRR5665073_mtphln2	SRR5665072_mtphln2	SRR5665061_mtphln2	SRR5665060_mtphln2	SRR5665059_mtphln2	SRR5665058_mtphln2	SRR5665057_mtphln2	SRR5665056_mtphln2	SRR5665055_mtphln2	SRR5665054_mtphln2	SRR5665053_mtphln2	SRR5665052_mtphln2	SRR5665051_mtphln2	SRR5665050_mtphln2	SRR5665049_mtphln2	SRR5665048_mtphln2	SRR5665047_mtphln2	SRR5665046_mtphln2	SRR5665045_mtphln2	SRR5665044_mtphln2	SRR5665043_mtphln2	SRR5665042_mtphln2	SRR5665041_mtphln2	SRR5665035_mtphln2	SRR5665034_mtphln2	SRR5665033_mtphln2	SRR5665032_mtphln2	SRR5665031_mtphln2	SRR5665030_mtphln2	SRR5665029_mtphln2	SRR5665028_mtphln2	SRR5665027_mtphln2	SRR5665026_mtphln2	SRR5665025_mtphln2	SRR5665024_mtphln2
Acidaminococcus	2|1239|909932|1843488|909930|904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013869999999999999	0	0	0
Phascolarctobacterium	2|1239|909932|1843488|909930|33024	0.01264	0	0.17859	0.19801	0	0	0.10545	0.006220000000000001	0	0	0	0	0	0	0	0	0	1.02757	0	0	0	0	0	0	0	0	0	0	0	0	0.02239	0	0	0	0	0.5415800000000001	0	0	0	0	0	0	0	0	0.2423	0	0.1278	0	0	0.14187	0.08222	0	0.0818	0	0	0	0.26869	0	0	0	0	0.9079200000000001	0.09483	0.02137	0	0	0	0	0	0	0	0.12612	0	0	0	0	0	0	0.5543100000000001	0	0	0.02945	0	2.2438599999999997	0
Megamonas	2|1239|909932|909929|1843491|158846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88125	0	0	0	0	0	0	0	0	0	0	0
Dialister	2|1239|909932|1843489|31977|39948	0	0	0	0	0	0	0	0	0	0.37553000000000003	0	0	0.76756	0	0	0.70414	0.04161	0	0	0	0	0	1.00199	0	0	0.16755	0	0	0	0	0	5.68705	0.02907	0	0	0	0	0	0	0.8860600000000001	0	0	0	0.27171999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038939999999999995	0.08227999999999999	0	0	0	0	0	0.0276	0	0	0	0	1.15139	0	0.01595	0	0	0	0	0	0	0	0	0	0.006670000000000001	0	0
Megasphaera	2|1239|909932|1843489|31977|906	0	0	0	0	0	0	0	0	0	0.5192399999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella	2|1239|909932|1843489|31977|29465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07862000000000001	0	0	0	0.01662	0	0	0	0	0	0	0	0	0	0	0	0	0.6472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2059599999999997	0	0	0	0	0	0	0	0	0.11884000000000002	0	0	0	0	0.57028	0	0	0
Parvimonas	2|1239|1737404|1737405|1570339|543311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057260000000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	2|32066|203490|203491|203492|848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42994	0	0	0	0	0	0	0	0.046810000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13782	0	0	0
Comamonas	2|1224|28216|80840|80864|283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48491999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter	2|1224|28216|80840|75682|846	1.2889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08106000000000001	0
