clade_name	NCBI_tax_id	SRR5665187_mtphln2	SRR5665186_mtphln2	SRR5665185_mtphln2	SRR5665184_mtphln2	SRR5665183_mtphln2	SRR5665182_mtphln2	SRR5665181_mtphln2	SRR5665180_mtphln2	SRR5665179_mtphln2	SRR5665178_mtphln2	SRR5665164_mtphln2	SRR5665163_mtphln2	SRR5665162_mtphln2	SRR5665161_mtphln2	SRR5665160_mtphln2	SRR5665159_mtphln2	SRR5665158_mtphln2	SRR5665157_mtphln2	SRR5665156_mtphln2	SRR5665155_mtphln2	SRR5665144_mtphln2	SRR5665143_mtphln2	SRR5665142_mtphln2	SRR5665141_mtphln2	SRR5665140_mtphln2	SRR5665139_mtphln2	SRR5665138_mtphln2	SRR5665137_mtphln2	SRR5665136_mtphln2	SRR5665135_mtphln2	SRR5665134_mtphln2	SRR5665123_mtphln2	SRR5665122_mtphln2	SRR5665121_mtphln2	SRR5665120_mtphln2	SRR5665119_mtphln2	SRR5665118_mtphln2	SRR5665117_mtphln2	SRR5665116_mtphln2	SRR5665115_mtphln2	SRR5665114_mtphln2	SRR5665103_mtphln2	SRR5665081_mtphln2	SRR5665080_mtphln2	SRR5665079_mtphln2	SRR5665078_mtphln2	SRR5665077_mtphln2	SRR5665076_mtphln2	SRR5665075_mtphln2	SRR5665074_mtphln2	SRR5665073_mtphln2	SRR5665072_mtphln2	SRR5665061_mtphln2	SRR5665060_mtphln2	SRR5665059_mtphln2	SRR5665058_mtphln2	SRR5665057_mtphln2	SRR5665056_mtphln2	SRR5665055_mtphln2	SRR5665054_mtphln2	SRR5665053_mtphln2	SRR5665052_mtphln2	SRR5665051_mtphln2	SRR5665050_mtphln2	SRR5665049_mtphln2	SRR5665048_mtphln2	SRR5665047_mtphln2	SRR5665046_mtphln2	SRR5665045_mtphln2	SRR5665044_mtphln2	SRR5665043_mtphln2	SRR5665042_mtphln2	SRR5665041_mtphln2	SRR5665035_mtphln2	SRR5665034_mtphln2	SRR5665033_mtphln2	SRR5665032_mtphln2	SRR5665031_mtphln2	SRR5665030_mtphln2	SRR5665029_mtphln2	SRR5665028_mtphln2	SRR5665027_mtphln2	SRR5665026_mtphln2	SRR5665025_mtphln2	SRR5665024_mtphln2
Barnesiellaceae	2|976|200643|171549|2005519	0.5837899999999999	0.43205	0.11852	0.17898	0	0	0	0	0.27823000000000003	0	0.22605	0	0	0	0	0	0.11549000000000001	0	1.04942	0	0	0	0	0	0	0	0	0	0	0	0	0.11585999999999999	0	0	0	0	0	0	0	0	0.39193	0	0	0	0	0	0	1.64025	0	0	0	0	0	0	0	0	0.42928999999999995	0	0	0.60661	0	0	0	0	0	0	0.00162	0	0	0.03913	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92086	0
Odoribacteraceae	2|976|200643|171549|1853231	0	0	0.05089	0	0	0	0.15741	0	0	0	0.35461	0	1.17446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1496	0	0.1583	0	0.0445	0.44819	0	0	0	0	0	0	0	0	0	0	0.06137000000000001	0	0	0	0.02685	0	0	0	0	0	0
Porphyromonadaceae	2|976|200643|171549|171551	0	0.07203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31128	1.9562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33969	0	0	0	0	0	0	0	0	0	0
Prevotellaceae	2|976|200643|171549|171552	0	0.25904	0	0	0	0	0	0.07343	0	0	0	0	34.81398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13352	0	0	0	0	26.3934	0	0	0	0	0	0	0	0	0	0	2.5365599999999997	0	0	0	1.29247	0.02157	0.01645	0	0	0	2.31128	0	0	0.08871	0.04421	0.7331300000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57736	0
Rikenellaceae	2|976|200643|171549|171550	7.8626	0.13430999999999998	2.00326	0.48039	0	0.060660000000000006	0.06999	0.021330000000000002	0	0	0.81507	1.5005	0.13174	0	0	0.26006	0.07215	0.25344	2.44083	0	0.08229	1.53566	0	0	0	0	0	0	0	4.79986	0	0.15841	0.06587	0	0.13525	1.13715	0	0	0	0	4.278519999999999	0	0	0	0.31149	0	0	0.91753	0	0.00678	0	1.22305	0.252	0	0	0	1.30501	0	13.6507	0.22368000000000002	0	0.26738	0.63707	4.03329	0	0	0.11264	0	0	0.63276	0	0	0.66679	0	0.2201	0.06786	0	0	0.7351800000000001	0	0	0.09472	1.09714	2.94775	0
Tannerellaceae	2|976|200643|171549|2005525	0.10547999999999999	0.16530999999999998	1.2977100000000001	0.34068000000000004	0	0	0.15841	0.00271	0.8851600000000001	0	0.05462	0.30528	5.59166	0	0	0	0.24928000000000003	0	0.30682	0	0	0	0.13299	0	0	0	0	0	0	0.08315	0.39614	0.0842	0	0	0.02818	1.71976	0	0	0	0	0.30827	0	0	0.36193000000000003	0.20992	0	1.18179	0.7128399999999999	0.013819999999999999	0.11646	0.06312000000000001	0.13287000000000002	0	0	0	0.19739	0.63137	0	0.12112	0.8591799999999999	0.04577	0.04066	0.21163	0.8753799999999999	0	0	0	0.027639999999999998	0	0.00474	0	0.03032	0.0427	0	0	0	0.29796	0.12120999999999998	0.04653	0	0.0037600000000000003	0.030430000000000002	2.16309	1.88297	0
Bacillales_unclassified		0	0	0	0	0	0.03687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28891999999999995	0	0	0	0.0945	0	0	0	0.02425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13097999999999999	0	0.16782	0	0.00941	0	0	0	0	0	0	0	0	0	0	0	0	0.01785	0	0	0	0	0	0	0.08201	0	0	0.006229999999999999	0	0	0.022269999999999998	0	0	0	0
Enterococcaceae	2|1239|91061|186826|81852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04203	0	0	0.20357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33855	0	0	0	0	0	0	0	0	0.34703	0	0	0	0	0.12144	0	0	0
Lactobacillaceae	2|1239|91061|186826|33958	0	0	0	0	0	1.40998	0	0	0	0	0	0.055929999999999994	0	0	3.14051	0	0	0	0	0	0	0	0	0	0.00812	0.13399	0	0	1.65452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43883999999999995	0	0.14779	0	0	0	0	0	0	0	0.01153	0	0	0	0	0	0	0	0	0.03673	0.034319999999999996	0.35679	0	0	0	0	0	0.05442	0.81903	0	0	0	0.26732	0	0	0	0
Leuconostocaceae	2|1239|91061|186826|81850	0	0	0.19530999999999998	0	0	0	0	0	0	0	0	0.04049	0	0	0	0	0	0	0	0	0	0	0	0	0.11684000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01031	0	0	0	0	0	0	0	0	0	0	0	0
